species,term,mean,median,sd
28728-ACE-RUB,(Intercept),-0.0132083677813022,-0.0124881601498255,0.0214053287635781
28728-ACE-RUB,canopy_statusTRUE,0.243593458578006,0.243538898989421,0.00978348311803301
28728-ACE-RUB,dbh,0.307155357019967,0.307025690686895,0.00535648115005067
28728-ACE-RUB,I(dbh^2),-0.0594274692195244,-0.0594409150092255,0.00177517218887281
28728-ACE-RUB,annual_mean_temperature,0.101347363956726,0.100650124499454,0.0124691430463674
28728-ACE-RUB,I(annual_mean_temperature^2),0.00657168339036499,0.00677197350549412,0.00508414258945795
28728-ACE-RUB,annual_precipitation,-0.0602287697578995,-0.059868232602359,0.00698828955563821
28728-ACE-RUB,I(annual_precipitation^2),0.0174050781016801,0.0173331935610048,0.00344529106376061
28728-ACE-RUB,canopy_statusTRUE:annual_mean_temperature,-0.0411590173528282,-0.0414857299751842,0.0112528729174417
28728-ACE-RUB,canopy_statusTRUE:I(annual_mean_temperature^2),0.0268304471170641,0.026872869136265,0.0055412324562861
28728-ACE-RUB,canopy_statusTRUE:annual_precipitation,0.0357950707120529,0.0356814309539218,0.0073159199965932
28728-ACE-RUB,canopy_statusTRUE:I(annual_precipitation^2),-0.0215080637266643,-0.0215046101970229,0.00442153164301154
28728-ACE-RUB,dbh:annual_mean_temperature,0.0845684620306671,0.084608281141266,0.0065003189977464
28728-ACE-RUB,dbh:I(annual_mean_temperature^2),-0.025767967823457,-0.0257869459239066,0.00295499383402203
28728-ACE-RUB,dbh:annual_precipitation,-0.0148496679036835,-0.0149256418634522,0.0043281075644139
28728-ACE-RUB,dbh:I(annual_precipitation^2),-0.0018515297853926,-0.00192322312451683,0.00227996604381272
28728-ACE-RUB,I(dbh^2):annual_mean_temperature,0.0120460946138118,0.0120370283194017,0.00254961604795899
28728-ACE-RUB,I(dbh^2):I(annual_mean_temperature^2),-0.00524960985855779,-0.00518375649614292,0.00109930239854463
28728-ACE-RUB,I(dbh^2):annual_precipitation,-0.000199347396504008,-0.000264223062584883,0.00147076445731864
28728-ACE-RUB,I(dbh^2):I(annual_precipitation^2),0.000461395084082467,0.000457079445974518,0.000628944337067932
19462-FAG-GRA,(Intercept),0.114253702680316,0.114851919327598,0.0328172764685817
19462-FAG-GRA,canopy_statusTRUE,-0.010818093540639,-0.0105016353237338,0.0224146887200943
19462-FAG-GRA,dbh,0.316582337042737,0.316221539612197,0.010502411087817
19462-FAG-GRA,I(dbh^2),-0.0980222051554299,-0.0981671014243281,0.00432640469814324
19462-FAG-GRA,annual_mean_temperature,-0.107733299133781,-0.107357590815145,0.0217753108009885
19462-FAG-GRA,I(annual_mean_temperature^2),0.0598106256543629,0.0598211773540413,0.00868685156668963
19462-FAG-GRA,annual_precipitation,0.0461864588557953,0.0459537867754666,0.0128240302375784
19462-FAG-GRA,I(annual_precipitation^2),-0.0378650333909452,-0.0374839782098811,0.00707559136449281
19462-FAG-GRA,canopy_statusTRUE:annual_mean_temperature,-0.0928108169562745,-0.0933615920989955,0.0256332474649772
19462-FAG-GRA,canopy_statusTRUE:I(annual_mean_temperature^2),0.0652973301429518,0.0653769217517501,0.0118420658809783
19462-FAG-GRA,canopy_statusTRUE:annual_precipitation,-0.0456129135201168,-0.0445918277413428,0.0175338265913012
19462-FAG-GRA,canopy_statusTRUE:I(annual_precipitation^2),0.00656342106639634,0.00589125661222403,0.0106526283644811
19462-FAG-GRA,dbh:annual_mean_temperature,0.0263950607371291,0.0270489916218932,0.0148076244694676
19462-FAG-GRA,dbh:I(annual_mean_temperature^2),-0.00955649750019246,-0.00965960262005836,0.00645865797803245
19462-FAG-GRA,dbh:annual_precipitation,-0.0296889807443545,-0.0296227678827021,0.00915357963631979
19462-FAG-GRA,dbh:I(annual_precipitation^2),0.0119971031321913,0.0118043788285756,0.00497348744216834
